"playerID","tmID","year","off_win_share","def_win_share","win_share","tot_reb_percent","usage_percent","val_over_rep_player","plus_minus","player_eff_rating"
"menkeke01","WAT",1949,0,0,0,NA,NA,NA,NA,NA
"miasest01","CHS",1949,2.8,2.9,5.8,NA,NA,NA,NA,NA
"mikaned01","CHS",1949,-0.4,0.6,0.2,NA,NA,NA,NA,NA
"mikaned01","ROC",1949,-0.2,0.8,0.6,NA,NA,NA,NA,NA
"mikange01","MNL",1949,15.3,5.8,21.1,NA,NA,NA,NA,NA
"mikkeve01","MNL",1949,5.6,3.6,9.2,NA,NA,NA,NA,NA
"miksial01","WAT",1949,0.2,0,0.1,NA,NA,NA,NA,NA
"mitchmu01","AND",1949,0,0,0,NA,NA,NA,NA,NA
"mogusle01","PHW",1949,5.6,2.4,8,NA,NA,NA,NA,NA
"morrima01","SHE",1949,4.4,-0.4,4.1,NA,NA,NA,NA,NA
"mullajo01","BOS",1949,-0.9,0.3,-0.6,NA,NA,NA,NA,NA
"nagelje01","FTW",1949,-0.3,0.2,-0.1,NA,NA,NA,NA,NA
"nichoja01","WSC",1949,3.2,1.4,4.5,NA,NA,NA,NA,NA
"nichoja01","TRI",1949,1.5,0.6,2.1,NA,NA,NA,NA,NA
"niemiri01","FTW",1949,-0.2,1,0.8,NA,NA,NA,NA,NA
"niemiri01","AND",1949,0.8,1.1,1.9,NA,NA,NA,NA,NA
"noelpa01","NYK",1949,0,0.8,0.9,NA,NA,NA,NA,NA
"nolanji01","PHW",1949,-0.3,0.2,-0.2,NA,NA,NA,NA,NA
"norlajo01","WSC",1949,-0.1,0.7,0.6,NA,NA,NA,NA,NA
"nostrge01","BOS",1949,-0.1,0.3,0.2,NA,NA,NA,NA,NA
"nostrge01","TRI",1949,0.1,0,0.1,NA,NA,NA,NA,NA
"nostrge01","CHS",1949,-0.6,0.7,0.1,NA,NA,NA,NA,NA
"novakmi01","ROC",1949,-0.2,0.1,-0.1,NA,NA,NA,NA,NA
"novakmi01","PHW",1949,-0.8,1.5,0.7,NA,NA,NA,NA,NA
"oconnde01","BOS",1949,-1.9,0.6,-1.3,NA,NA,NA,NA,NA
"oconnde01","STB",1949,-1.3,0.1,-1.2,NA,NA,NA,NA,NA
"odonnan01","BLB",1949,0.1,0.3,0.3,NA,NA,NA,NA,NA
"okeefdi01","WSC",1949,0.2,1.9,2.1,NA,NA,NA,NA,NA
"oldhajo01","FTW",1949,-0.5,2.8,2.3,NA,NA,NA,NA,NA
"ollrige01","WAT",1949,-0.5,-0.1,-0.6,NA,NA,NA,NA,NA
"orrjo01","STB",1949,0.1,0.1,0.1,NA,NA,NA,NA,NA
"orrjo01","WAT",1949,-0.2,-0.1,-0.2,NA,NA,NA,NA,NA
"ottendo01","TRI",1949,4,1.3,5.2,NA,NA,NA,NA,NA
"ottendo01","WSC",1949,2.8,0.5,3.3,NA,NA,NA,NA,NA
"ottenma01","TRI",1949,0.2,0.2,0.4,NA,NA,NA,NA,NA
"ottenma01","STB",1949,-0.3,0.2,-0.1,NA,NA,NA,NA,NA
"owensre01","TRI",1949,0,0.5,0.5,NA,NA,NA,NA,NA
"owensre01","AND",1949,-0.4,1.6,1.2,NA,NA,NA,NA,NA
"parhaea01","STB",1949,-0.5,0.6,0.1,NA,NA,NA,NA,NA
"parkija01","INO",1949,-0.2,0,-0.2,NA,NA,NA,NA,NA
"parslch01","PHW",1949,-0.1,0.1,0,NA,NA,NA,NA,NA
"patrist01","WAT",1949,1.9,-0.2,1.7,NA,NA,NA,NA,NA
"patrist01","SHE",1949,0,-0.1,-0.1,NA,NA,NA,NA,NA
"payakjo01","PHW",1949,0.2,0.2,0.5,NA,NA,NA,NA,NA
"payakjo01","WAT",1949,0.2,-0.3,-0.1,NA,NA,NA,NA,NA
"perkiwa01","TRI",1949,-0.4,1.7,1.3,NA,NA,NA,NA,NA
"petered01","SYR",1949,3,2.1,5.1,NA,NA,NA,NA,NA
"phelaja01","WAT",1949,0,-0.1,-0.1,NA,NA,NA,NA,NA
"phelaja01","SHE",1949,-0.3,-0.1,-0.4,NA,NA,NA,NA,NA
"phillan01","CHS",1949,3.1,4.6,7.7,NA,NA,NA,NA,NA
"pollaji01","MNL",1949,1.2,4.1,5.4,NA,NA,NA,NA,NA
"pritcjo01","WAT",1949,-0.1,0,-0.2,NA,NA,NA,NA,NA
"pughle01","BLB",1949,-0.2,0.7,0.6,NA,NA,NA,NA,NA
"putnado01","STB",1949,-1.1,0.4,-0.7,NA,NA,NA,NA,NA
"ratkoge01","SYR",1949,3.4,2.6,6,NA,NA,NA,NA,NA
"raydo01","TRI",1949,0.2,1.1,1.3,NA,NA,NA,NA,NA
"reisech01","WSC",1949,1.7,2.2,3.9,NA,NA,NA,NA,NA
"risenar01","ROC",1949,2.4,2.2,4.6,NA,NA,NA,NA,NA
"rittete01","NYK",1949,1.6,0.7,2.3,NA,NA,NA,NA,NA
"roberbi01","STB",1949,-0.1,0.3,0.2,NA,NA,NA,NA,NA
"rochare01","STB",1949,6.2,0.8,7,NA,NA,NA,NA,NA
